Token,PoS
Jonah,PROPN
Thy,PROPN
Jonah,PROPN
Jonah,PROPN
God,PROPN
Hebrew,PROPN
Lord,PROPN
God,PROPN
Heaven,PROPN
Jonah,PROPN
Lord,PROPN
God,PROPN
Straightway,PROPN
Jonah,PROPN
God,PROPN
Jonah,PROPN
God,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
Lord,PROPN
Jonah,PROPN
God,PROPN
pardon,PROPN
God,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
Jonah,PROPN
Book,PROPN
God,PROPN
God,PROPN
Jonah,PROPN
ye,PROPN
Jonah,PROPN
God,PROPN
Lord,PROPN
Nineveh,PROPN
Jonah,PROPN
God,PROPN
Joppa,PROPN
God,PROPN
God,PROPN
hell’—when,PROPN
God,PROPN
God,PROPN
Jonah,PROPN
Lord,PROPN
Jonah,PROPN
Jonah,PROPN
Almighty,PROPN
Falsehood,PROPN
God,PROPN
Gospel,PROPN
God,PROPN
Woe,PROPN
Pilot,PROPN
Paul,PROPN
Delight,PROPN
delight,PROPN
Delight,PROPN
Delight,PROPN
Senators,PROPN
Judges,PROPN
lord,PROPN
Lord,PROPN
God,PROPN
heaven,PROPN
Delight,PROPN
Keel,PROPN
Ages,PROPN
Thy,PROPN
Thine,PROPN
Thee,PROPN
God,PROPN
CHAPTER,PROPN
Bosom,PROPN
Friend,PROPN
Spouter,PROPN
Inn,PROPN
Chapel,PROPN
Queequeg,PROPN
Chapel,PROPN
astonishment,PROPN
Pagan,PROPN
General,PROPN
Washington,PROPN
Queequeg,PROPN
George,PROPN
Washington,PROPN
Queequeg,PROPN
inn,PROPN
Cape,PROPN
Horn,PROPN
Jupiter,PROPN
pagan,PROPN
Pagan,PROPN
Christian,PROPN
Presbyterian,PROPN
Church,PROPN
Ishmael,PROPN
God,PROPN
heaven,PROPN
God?—to,PROPN
me—_that,PROPN
God,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
CHAPTER,PROPN
Nightgown,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
Tomahawk,PROPN
Queequeg,PROPN
Tomahawk,PROPN
CHAPTER,PROPN
Queequeg,PROPN
Rokovoko,PROPN
West,PROPN
South,PROPN
Queequeg,PROPN
Christendom,PROPN
High,PROPN
Chief,PROPN
High,PROPN
Priest,PROPN
Sag,PROPN
Harbor,PROPN
bay,PROPN
Queequeg,PROPN
King,PROPN
Queequeg,PROPN
Queequeg,PROPN
King,PROPN
Queequeg,PROPN
Christendom,PROPN
Prince,PROPN
Wales,PROPN
Captain,PROPN
Czar,PROPN
Peter,PROPN
Queequeg,PROPN
Christians,PROPN
Christians,PROPN
Sag,PROPN
Harbor,PROPN
Nantucket,PROPN
_,PROPN
Queequeg,PROPN
Christians,PROPN
Christianity,PROPN
Christians,PROPN
Nantucket,PROPN
Potluck,PROPN
Queequeg,PROPN
Queequeg,PROPN
CHAPTER,PROPN
Wheelbarrow,PROPN
Monday,PROPN
Queequeg,PROPN
Peter,PROPN
Coffin,PROPN
Queequeg,PROPN
Moss,PROPN
Nantucket,PROPN
Queequeg,PROPN
"streets,—but",PROPN
Queequeg,PROPN
inland,PROPN
Queequeg,PROPN
Sag,PROPN
Harbor,PROPN
Queequeg,PROPN
Queequeg,PROPN
Rokovoko,PROPN
Rokovoko,PROPN
Queequeg,PROPN
Captain,PROPN
High,PROPN
Priest,PROPN
King,PROPN
Queequeg,PROPN
Queequeg,PROPN
Giver,PROPN
Grace,PROPN
High,PROPN
Priest,PROPN
Priest,PROPN
King,PROPN
Captain,PROPN
Queequeg,PROPN
Acushnet,PROPN
New,PROPN
Bedford,PROPN
Moss,PROPN
Tartar,PROPN
air!—how,PROPN
Queequeg,PROPN
Moss,PROPN
Sultan,PROPN
Sideways,PROPN
Queequeg,PROPN
Queequeg,PROPN
Capting,PROPN
Capting,PROPN
Capting,PROPN
Capting,PROPN
Hallo,PROPN
Captain,PROPN
Queequeg,PROPN
chap,PROPN
Queequeg,PROPN
Queequeg,PROPN
bevy,PROPN
Queequeg,PROPN
Queequeg,PROPN
Captain,PROPN
Captain,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
Queequeg,PROPN
yea,PROPN
Queequeg,PROPN
Humane,PROPN
Magnanimous,PROPN
Societies,PROPN
